app_id,customer_id,app_dt,snapshot_month,bureau_score,utilization_ratio,credit_usage_ratio,payment_income_ratio,balance_to_limit,monthly_spend,segment,region,employment_type,delinquent_last_6m,open_trades,channel_code,promo_flag,noise_feature,target
A031937001,319,2023-01-01,2023-01,654.0,1.0,0.878,0.267,0.929,1956.35,Retail,East,Contract,1,3,Online,0,0.7536,1
A029737002,297,2023-01-01,2023-01,602.0,0.971,0.853,0.288,0.9,1802.07,Retail,East,Salaried,1,5,Online,0,0.3251,1
A021237003,212,2023-01-01,2023-01,657.0,1.0,0.872,0.27,0.926,2169.97,Retail,East,Self-Employed,1,5,Branch,0,0.7342,1
A038237004,382,2023-01-01,2023-01,671.0,0.551,0.476,0.282,0.548,1806.44,Retail,South,Salaried,1,2,Online,0,0.8138,0
A023037005,230,2023-01-01,2023-01,654.0,0.432,0.38,0.208,0.396,1862.57,Retail,East,Self-Employed,0,4,Branch,0,0.143,0
A019237006,192,2023-01-01,2023-01,616.0,1.0,0.893,0.299,0.946,1865.03,SME,West,Salaried,1,5,Online,0,0.0097,1
A008937007,89,2023-01-01,2023-01,634.0,0.591,0.53,0.171,0.534,1886.48,Retail,North,Salaried,0,6,Online,0,0.7169,0
A005337008,53,2023-01-01,2023-01,644.0,0.591,0.495,0.265,0.555,1664.63,Retail,North,Salaried,0,6,Branch,0,0.9366,0
A052037009,520,2023-01-01,2023-01,701.0,0.523,0.476,0.22,0.491,1904.44,Retail,West,Salaried,0,3,Online,0,0.8393,0
A009937010,99,2023-01-01,2023-01,648.0,0.235,0.218,0.23,0.232,1279.12,SME,South,Contract,0,7,Partner,0,0.0147,1
A037637011,376,2023-01-01,2023-01,645.0,0.466,0.406,0.302,0.439,1738.45,SME,West,Self-Employed,0,4,Branch,0,0.635,0
A032737012,327,2023-01-01,2023-01,635.0,0.337,0.293,0.245,0.324,924.32,Retail,South,Self-Employed,0,3,Online,0,0.1549,0
A041737013,417,2023-01-01,2023-01,652.0,0.421,0.413,0.354,0.407,1309.94,SME,South,Salaried,0,4,Branch,0,0.796,0
A049737014,497,2023-01-01,2023-01,677.0,0.426,0.405,0.258,0.412,1640.9,SME,East,Contract,0,6,Online,0,0.3106,0
A051037015,510,2023-01-01,2023-01,651.0,0.991,0.887,0.233,0.913,2421.77,Corporate,West,Contract,1,3,Branch,0,0.6259,1
A028337016,283,2023-01-01,2023-01,632.0,0.611,0.549,0.192,0.579,1768.05,Retail,West,Salaried,0,4,Branch,0,0.5377,0
A046337017,463,2023-01-01,2023-01,648.0,0.745,0.649,0.206,0.708,2092.63,Retail,North,Salaried,1,5,Online,0,0.9104,0
A036537018,365,2023-01-01,2023-01,716.0,0.55,0.463,0.287,0.531,1609.99,SME,West,Contract,0,3,Online,1,0.8002,0
A059737019,597,2023-01-01,2023-01,650.0,0.757,0.672,0.153,0.705,1935.53,Retail,East,Contract,0,9,Branch,0,0.3279,0
A007737020,77,2023-01-01,2023-01,690.0,0.319,0.258,0.312,0.313,1364.45,Retail,East,Self-Employed,0,7,Branch,0,0.6048,0
A003137021,31,2023-01-01,2023-01,664.0,0.571,0.515,0.199,0.56,1425.81,SME,North,Self-Employed,0,7,Branch,0,0.4678,0
A053737022,537,2023-01-01,2023-01,631.0,0.836,0.744,0.202,0.784,1870.05,Corporate,South,Contract,0,6,Branch,0,0.104,1
A031237023,312,2023-01-01,2023-01,651.0,0.418,0.363,0.207,0.403,1612.93,Retail,West,Salaried,0,4,Partner,0,0.4579,0
A039637024,396,2023-01-01,2023-01,666.0,0.754,0.691,0.231,0.706,1498.87,Retail,South,Salaried,0,1,Online,0,0.1257,0
A043437025,434,2023-01-01,2023-01,628.0,0.331,0.294,0.214,0.343,1446.01,Retail,West,Self-Employed,0,7,Branch,0,0.3741,0
A051737026,517,2023-01-01,2023-01,673.0,0.519,0.503,0.249,0.508,1705.38,Corporate,North,Salaried,0,3,Branch,0,0.9602,0
A010937027,109,2023-01-01,2023-01,593.0,0.737,0.655,0.277,0.709,1690.23,Retail,North,Salaried,0,3,Online,0,0.2337,1
A001037028,10,2023-01-01,2023-01,618.0,0.33,0.294,0.276,0.287,1841.73,SME,East,Salaried,1,2,Branch,0,0.5382,1
A025637029,256,2023-01-01,2023-01,687.0,0.653,0.573,0.308,0.625,1648.83,SME,North,Salaried,1,6,Branch,0,0.0544,0
A034937030,349,2023-01-01,2023-01,637.0,0.692,0.626,0.214,0.642,1244.0,Retail,East,Self-Employed,0,5,Branch,1,0.5876,0
A027037031,270,2023-01-01,2023-01,695.0,0.589,0.528,0.222,0.542,1999.56,Retail,West,Salaried,1,3,Branch,0,0.7263,0
A001537032,15,2023-01-01,2023-01,688.0,0.657,0.609,0.278,0.6,1505.04,SME,South,Salaried,0,3,Branch,0,0.2362,0
A013637033,136,2023-01-01,2023-01,598.0,0.91,0.821,0.305,0.862,2083.63,SME,South,Salaried,0,3,Partner,0,0.6459,1
A008937034,89,2023-01-01,2023-01,639.0,0.12,0.099,0.193,0.13,1569.74,Retail,North,Salaried,0,6,Online,0,0.251,0
A034537035,345,2023-01-01,2023-01,621.0,0.463,0.434,0.231,0.444,1481.26,Retail,West,Self-Employed,0,4,Partner,0,0.3295,0
A040437036,404,2023-01-01,2023-01,652.0,0.137,0.112,0.263,0.157,1650.95,SME,North,Contract,0,5,Branch,0,0.0136,0
A026437037,264,2023-01-01,2023-01,634.0,0.46,0.415,0.32,0.432,1880.23,SME,West,Salaried,0,3,Partner,0,0.3943,1
A055737038,557,2023-01-01,2023-01,565.0,0.636,0.562,0.217,0.592,1391.55,Retail,South,Salaried,0,8,Online,0,0.914,1
A028537039,285,2023-01-01,2023-01,658.0,0.641,0.554,0.297,0.608,1376.26,Retail,West,Salaried,0,7,Online,0,0.9481,0
A027737040,277,2023-01-01,2023-01,624.0,0.895,0.78,0.342,0.856,2048.16,SME,West,Salaried,0,3,Branch,0,0.9997,1
